Scan,Time,SensorIndex,Range,Azimuth,RangeRate,ObjectID
48,4.7,5,26.0803,0.87097,4.9641,0
48,4.7,5,26.3802,0.83701,4.9799,0
48,4.7,5,26.5044,0.64763,-0.010318,0
48,4.7,5,28.9113,0.65862,0.027933,0
48,4.7,5,29.9437,0.67213,-0.00044895,0
48,4.7,5,30.0248,0.8277,5.0061,0
48,4.7,5,31.5938,0.67178,-0.034132,0
48,4.7,5,33.9375,0.68089,0.0037507,0
48,4.7,5,36.4327,0.681,0.0061593,0
48,4.7,5,38.7517,0.69884,0.011182,0
48,4.7,5,41.4578,0.70203,0.016134,0
48,4.7,5,44.0122,0.70669,0.030271,0
48,4.7,5,46.293,0.71552,-0.00012428,0
48,4.7,5,48.9002,0.7118,-0.025368,0
48,4.7,6,21.1746,-1.0461,0.022435,0
48,4.7,6,21.7967,-1.0512,0.049647,0
48,4.7,6,23.8007,-1.0179,0.0094372,0
48,4.7,6,24.1363,-1.0057,0.026391,0
48,4.7,6,25.6841,-0.80368,4.9753,0
48,4.7,6,25.8344,-0.73465,4.9987,0
48,4.7,6,26.2648,-0.98426,-0.0025437,0
48,4.7,6,29.0827,-0.97678,-0.025114,0
48,4.7,6,31.4989,-0.95224,0.0037906,0
48,4.7,6,33.8611,-0.94666,0.060558,0
48,4.7,6,35.1034,-0.94412,-0.009079,0
48,4.7,6,36.3508,-0.92602,0.0028715,0
48,4.7,6,39.0028,-0.92866,-0.011144,0
48,4.7,6,41.1361,-0.93011,-0.058927,0
48,4.7,6,43.8144,-0.91153,-0.008316,0
48,4.7,6,46.6263,-0.90319,-0.013448,0
48,4.7,6,48.805,-0.89684,0.0061635,0
49,4.8,1,24.9032,0.16764,-0.006928,0
49,4.8,1,26.1641,0.16334,-0.023892,0
49,4.8,1,28.2741,-0.072875,1.4906,0
49,4.8,1,29.0252,0.14267,0.044401,0
49,4.8,1,31.8246,0.13421,0.030642,0
49,4.8,1,34.3237,0.11381,0.016503,0
49,4.8,1,34.8627,0.021794,4.9941,0
49,4.8,1,34.9233,0.044335,5.0115,0
49,4.8,1,37.2413,0.015201,5.031,0
49,4.8,1,37.2538,0.11685,0.030914,0
49,4.8,1,39.4876,0.015021,5.0043,0
49,4.8,1,39.7372,0.11165,-0.0077289,0
49,4.8,1,41.1694,0.10663,0.0030345,0
49,4.8,1,42.4282,0.10659,0.017196,0
49,4.8,1,43.8028,0.096558,0.028111,0
49,4.8,2,19.9346,-0.61693,-0.01298,0
49,4.8,2,20.2719,-0.58407,-0.034681,0
49,4.8,2,21.1075,-0.62588,-0.041051,0
49,4.8,2,22.9759,-0.42975,-0.065383,0
49,4.8,2,23.8086,-0.63795,0.014856,0
49,4.8,2,24.0109,-0.32663,0.0063291,0
49,4.8,2,24.5099,-0.26246,0.022909,0
49,4.8,2,25.5781,-0.2138,-0.021465,0
